Date,Dish Name,Quantity Sold,Price per Dish (INR),Total Sales (INR),Ingredients,Feedback
03-18-2021,Sandwich,,20,,"Bread, Cheese, Vegetables",Average
18/03/2021,Pani Puri,41.0,10,410.0,"Flour, Water, Spices",
2021-03-18,Biryani,,120,,"Rice, Meat, Spices",Not good
03-18-2021,Chole Bhature,33.0,50,1650.0,"Chickpeas, Flour, Spices",Too spicy
18/03/2021,Pav Bhaji,29.0,45,1305.0,"Potatoes, Vegetables, Bread",Average
03-18-2021,Samosa,82.0,15,1230.0,"Potato, Peas, Spices",Average
18/03/2021,Lassi,,30,,"Yogurt, Sugar, Water",Very tasty
18/03/2021,CHAAT,16.0,30,480.0,"Pani, Sev, Spices",Very tasty
18/03/2021,MAAASALA DOSA,,35,,"Rice, Lentils, Spices",Too spicy
2021-03-18,Vadd Pav,31.0,22,682.0,"Potato, Bread, Spices",
2021-03-18,Chole Bhture,26.0,55,1430.0,"Chickpeas, Flour, Spices",Very tasty
18/03/2021,Pav Bhaji,40.0,45,1800.0,"Potatoes, Vegetables, Bread",Average
19/03/2021,masala dosa,,40,,"Rice, Lentils, Spices",
2021-03-19,Vada Pav,,25,,"Potato, Bread, Spices",Average
19/03/2021,Sandwich,,20,,"Bread, Cheese, Vegetables",Very tasty
19/03/2021,Pani Puri,38.0,10,380.0,"Flour, Water, Spices",Very tasty
19/03/2021,Biryani,70.0,120,8400.0,"Rice, Meat, Spices",Average
2021-03-19,Chole Bhature,,50,,"Chickpeas, Flour, Spices",Too spicy
2021-03-19,Pav Bhaji,,45,,"Potatoes, Vegetables, Bread",Average
19/03/2021,Samosa,9.0,15,135.0,"Potato, Peas, Spices",Average
2021-03-19,Lassi,,30,,"Yogurt, Sugar, Water",
2021-03-19,Chaat,,30,,"Pani, Sev, Spices",Average
19/03/2021,Maaasala Dosa,65.0,35,2275.0,"Rice, Lentils, Spices",Very tasty
03-19-2021,Vadd Pav,,22,,"Potato, Bread, Spices",Not good
19/03/2021,Chole Bhture,,55,,"Chickpeas, Flour, Spices",Very tasty
2021-03-19,Pav Bhaji,100.0,45,4500.0,"Potatoes, Vegetables, Bread",Not good
20/03/2021,Masala Dosa,65.0,40,2600.0,"Rice, Lentils, Spices",Too spicy
20/03/2021,Vada Pav,34.0,25,850.0,"Potato, Bread, Spices",Too spicy
20/03/2021,Sandwich,47.0,20,940.0,"Bread, Cheese, Vegetables",Very tasty
20/03/2021,Pani Puri,,10,,"Flour, Water, Spices",Not good
20/03/2021,Biryani,36.0,120,4320.0,"Rice, Meat, Spices",Too spicy
20/03/2021,Chole Bhature,99.0,50,4950.0,"Chickpeas, Flour, Spices",
20/03/2021,Pav Bhaji,11.0,45,495.0,"Potatoes, Vegetables, Bread",Very tasty
20/03/2021,Samosa,,15,,"Potato, Peas, Spices",
20/03/2021,Lassi,,30,,"Yogurt, Sugar, Water",Not good
03-20-2021,Chaat,53.0,30,1590.0,"Pani, Sev, Spices",
2021-03-20,Maaasala Dosa,26.0,35,910.0,"Rice, Lentils, Spices",Very tasty
03-20-2021,Vadd Pav,87.0,22,1914.0,"Potato, Bread, Spices",Not good
03-20-2021,Chole Bhture,25.0,55,1375.0,"Chickpeas, Flour, Spices",
03-20-2021,pav bhaji,92.0,45,4140.0,"Potatoes, Vegetables, Bread",Very tasty
21/03/2021,Masala Dosa,,40,,"Rice, Lentils, Spices",Too spicy
21/03/2021,Vada Pav,46.0,25,1150.0,"Potato, Bread, Spices",Not good
2021-03-21,Sandwich,,20,,"Bread, Cheese, Vegetables",
21/03/2021,Pani Puri,,10,,"Flour, Water, Spices",Too spicy
21/03/2021,Biryani,,120,,"Rice, Meat, Spices",Too spicy
03-21-2021,Chole Bhature,59.0,50,2950.0,"Chickpeas, Flour, Spices",Very tasty
03-21-2021,Pav Bhaji,79.0,45,3555.0,"Potatoes, Vegetables, Bread",Average
2021-03-21,Samosa,,15,,"Potato, Peas, Spices",
2021-03-21,lassi,,30,,"Yogurt, Sugar, Water",Very tasty
03-21-2021,Chaat,,30,,"Pani, Sev, Spices",Very tasty
2021-03-21,Maaasala Dosa,,35,,"Rice, Lentils, Spices",Very tasty
21/03/2021,Vadd Pav,,22,,"Potato, Bread, Spices",
03-21-2021,Chole Bhture,69.0,55,3795.0,"Chickpeas, Flour, Spices",Very tasty
2021-03-21,Pav Bhaji,6.0,45,270.0,"Potatoes, Vegetables, Bread",Very tasty
03-22-2021,Masala Dosa,61.0,40,2440.0,"Rice, Lentils, Spices",Not good
03-22-2021,Vada Pav,,25,,"Potato, Bread, Spices",Too spicy
2021-03-22,sandwich,,20,,"Bread, Cheese, Vegetables",Too spicy
2021-03-22,Pani Puri,,10,,"Flour, Water, Spices",Average
2021-03-22,Biryani,95.0,120,11400.0,"Rice, Meat, Spices",
2021-03-22,Chole Bhature,87.0,50,4350.0,"Chickpeas, Flour, Spices",
22/03/2021,PAV BHAJI,76.0,45,3420.0,"Potatoes, Vegetables, Bread",Very tasty
03-22-2021,Samosa,,15,,"Potato, Peas, Spices",Average
22/03/2021,Lassi,,30,,"Yogurt, Sugar, Water",Not good
03-22-2021,Chaat,79.0,30,2370.0,"Pani, Sev, Spices",
2021-03-22,Maaasala Dosa,31.0,35,1085.0,"Rice, Lentils, Spices",Not good
22/03/2021,Vadd Pav,,22,,"Potato, Bread, Spices",Not good
2021-03-22,Chole Bhture,,55,,"Chickpeas, Flour, Spices",Too spicy
03-22-2021,Pav Bhaji,,45,,"Potatoes, Vegetables, Bread",
23/03/2021,Masala Dosa,,40,,"Rice, Lentils, Spices",
03-23-2021,Vada Pav,44.0,25,1100.0,"Potato, Bread, Spices",
23/03/2021,Sandwich,,20,,"Bread, Cheese, Vegetables",Not good
2021-03-23,Pani Puri,,10,,"Flour, Water, Spices",Average
23/03/2021,Biryani,,120,,"Rice, Meat, Spices",Too spicy
03-23-2021,Chole Bhature,68.0,50,3400.0,"Chickpeas, Flour, Spices",Not good
03-23-2021,Pav Bhaji,78.0,45,3510.0,"Potatoes, Vegetables, Bread",Not good
03-23-2021,Samosa,,15,,"Potato, Peas, Spices",Very tasty
2021-03-23,Lassi,,30,,"Yogurt, Sugar, Water",Not good
2021-03-23,Chaat,,30,,"Pani, Sev, Spices",Very tasty
03-23-2021,Maaasala Dosa,18.0,35,630.0,"Rice, Lentils, Spices",Too spicy
2021-03-23,Vadd Pav,94.0,22,2068.0,"Potato, Bread, Spices",Very tasty
03-23-2021,Chole Bhture,,55,,"Chickpeas, Flour, Spices",Too spicy
2021-03-23,Pav Bhaji,,45,,"Potatoes, Vegetables, Bread",Not good
24/03/2021,Masala Dosa,58.0,40,2320.0,"Rice, Lentils, Spices",Not good
24/03/2021,Vada Pav,,25,,"Potato, Bread, Spices",Not good
2021-03-24,Sandwich,,20,,"Bread, Cheese, Vegetables",
03-24-2021,Pani Puri,,10,,"Flour, Water, Spices",Very tasty
03-24-2021,Biryani,73.0,120,8760.0,"Rice, Meat, Spices",
2021-03-24,Chole Bhature,,50,,"Chickpeas, Flour, Spices",Too spicy
2021-03-24,Pav Bhaji,47.0,45,2115.0,"Potatoes, Vegetables, Bread",Too spicy
03-24-2021,samosa,,15,,"Potato, Peas, Spices",Very tasty
03-24-2021,Lassi,,30,,"Yogurt, Sugar, Water",Too spicy
24/03/2021,Chaat,,30,,"Pani, Sev, Spices",Too spicy
2021-03-24,Maaasala Dosa,,35,,"Rice, Lentils, Spices",Average
2021-03-24,Vadd Pav,,22,,"Potato, Bread, Spices",Average
03-24-2021,Chole Bhture,,55,,"Chickpeas, Flour, Spices",Very tasty
24/03/2021,Pav Bhaji,,45,,"Potatoes, Vegetables, Bread",Not good
2021-03-25,Masala Dosa,84.0,40,3360.0,"Rice, Lentils, Spices",Too spicy
2021-03-25,VADA PAV,,25,,"Potato, Bread, Spices",Not good
03-25-2021,Sandwich,6.0,20,120.0,"Bread, Cheese, Vegetables",Very tasty
2021-03-25,Pani Puri,15.0,10,150.0,"Flour, Water, Spices",Too spicy
25/03/2021,Biryani,17.0,120,2040.0,"Rice, Meat, Spices",Too spicy
25/03/2021,Chole Bhature,,50,,"Chickpeas, Flour, Spices",
2021-03-25,pav bhaji,66.0,45,2970.0,"Potatoes, Vegetables, Bread",Very tasty
03-25-2021,Samosa,85.0,15,1275.0,"Potato, Peas, Spices",Very tasty
03-25-2021,Lassi,,30,,"Yogurt, Sugar, Water",Not good
2021-03-25,Chaat,6.0,30,180.0,"Pani, Sev, Spices",
03-25-2021,Maaasala Dosa,47.0,35,1645.0,"Rice, Lentils, Spices",Very tasty
25/03/2021,Vadd Pav,83.0,22,1826.0,"Potato, Bread, Spices",
25/03/2021,Chole Bhture,9.0,55,495.0,"Chickpeas, Flour, Spices",
03-25-2021,Pav Bhaji,,45,,"Potatoes, Vegetables, Bread",
26/03/2021,Masala Dosa,,40,,"Rice, Lentils, Spices",Average
2021-03-26,Vada Pav,94.0,25,2350.0,"Potato, Bread, Spices",Too spicy
2021-03-26,Sandwich,,20,,"Bread, Cheese, Vegetables",Too spicy
26/03/2021,Pani Puri,,10,,"Flour, Water, Spices",Not good
2021-03-26,Biryani,75.0,120,9000.0,"Rice, Meat, Spices",Too spicy
26/03/2021,chole bhature,89.0,50,4450.0,"Chickpeas, Flour, Spices",Very tasty
2021-03-26,Pav Bhaji,,45,,"Potatoes, Vegetables, Bread",Not good
03-26-2021,Samosa,,15,,"Potato, Peas, Spices",Average
2021-03-26,Lassi,,30,,"Yogurt, Sugar, Water",Not good
26/03/2021,Chaat,29.0,30,870.0,"Pani, Sev, Spices",Too spicy
26/03/2021,Maaasala Dosa,73.0,35,2555.0,"Rice, Lentils, Spices",Very tasty
2021-03-26,Vadd Pav,,22,,"Potato, Bread, Spices",Average
03-26-2021,Chole Bhture,,55,,"Chickpeas, Flour, Spices",Very tasty
03-26-2021,Pav Bhaji,,45,,"Potatoes, Vegetables, Bread",Too spicy
2021-03-27,Masala Dosa,,40,,"Rice, Lentils, Spices",Average
27/03/2021,Vada Pav,,25,,"Potato, Bread, Spices",Not good
2021-03-27,Sandwich,,20,,"Bread, Cheese, Vegetables",Very tasty
2021-03-27,pani puri,,10,,"Flour, Water, Spices",
27/03/2021,Biryani,,120,,"Rice, Meat, Spices",Too spicy
2021-03-27,Chole Bhature,,50,,"Chickpeas, Flour, Spices",Too spicy
03-27-2021,Pav Bhaji,60.0,45,2700.0,"Potatoes, Vegetables, Bread",Not good
2021-03-27,Samosa,,15,,"Potato, Peas, Spices",
03-27-2021,Lassi,40.0,30,1200.0,"Yogurt, Sugar, Water",Not good
03-27-2021,Chaat,25.0,30,750.0,"Pani, Sev, Spices",Not good
27/03/2021,Maaasala Dosa,61.0,35,2135.0,"Rice, Lentils, Spices",Not good
03-27-2021,Vadd Pav,47.0,22,1034.0,"Potato, Bread, Spices",
27/03/2021,Chole Bhture,8.0,55,440.0,"Chickpeas, Flour, Spices",
2021-03-27,Pav Bhaji,,45,,"Potatoes, Vegetables, Bread",Too spicy
03-28-2021,Masala Dosa,56.0,40,2240.0,"Rice, Lentils, Spices",
2021-03-28,Vada Pav,63.0,25,1575.0,"Potato, Bread, Spices",
03-28-2021,Sandwich,58.0,20,1160.0,"Bread, Cheese, Vegetables",Not good
2021-03-28,Pani Puri,45.0,10,450.0,"Flour, Water, Spices",Very tasty
28/03/2021,Biryani,70.0,120,8400.0,"Rice, Meat, Spices",Too spicy
28/03/2021,Chole Bhature,,50,,"Chickpeas, Flour, Spices",Not good
2021-03-28,Pav Bhaji,8.0,45,360.0,"Potatoes, Vegetables, Bread",
03-28-2021,Samosa,,15,,"Potato, Peas, Spices",Very tasty
28/03/2021,Lassi,51.0,30,1530.0,"Yogurt, Sugar, Water",
2021-03-28,Chaat,59.0,30,1770.0,"Pani, Sev, Spices",Very tasty
28/03/2021,Maaasala Dosa,,35,,"Rice, Lentils, Spices",Very tasty
03-28-2021,Vadd Pav,65.0,22,1430.0,"Potato, Bread, Spices",Average
28/03/2021,CHOLE BHTURE,50.0,55,2750.0,"Chickpeas, Flour, Spices",Very tasty
2021-03-28,Pav Bhaji,,45,,"Potatoes, Vegetables, Bread",Too spicy
29/03/2021,Masala Dosa,,40,,"Rice, Lentils, Spices",
29/03/2021,Vada Pav,54.0,25,1350.0,"Potato, Bread, Spices",Not good
2021-03-29,Sandwich,48.0,20,960.0,"Bread, Cheese, Vegetables",Too spicy
2021-03-29,Pani Puri,94.0,10,940.0,"Flour, Water, Spices",Not good
2021-03-29,Biryani,,120,,"Rice, Meat, Spices",Not good
29/03/2021,Chole Bhature,78.0,50,3900.0,"Chickpeas, Flour, Spices",
03-29-2021,Pav Bhaji,,45,,"Potatoes, Vegetables, Bread",Very tasty
2021-03-29,Samosa,69.0,15,1035.0,"Potato, Peas, Spices",
03-29-2021,Lassi,,30,,"Yogurt, Sugar, Water",Average
03-29-2021,Chaat,18.0,30,540.0,"Pani, Sev, Spices",Not good
2021-03-29,Maaasala Dosa,73.0,35,2555.0,"Rice, Lentils, Spices",Too spicy
03-29-2021,Vadd Pav,,22,,"Potato, Bread, Spices",Very tasty
29/03/2021,Chole Bhture,69.0,55,3795.0,"Chickpeas, Flour, Spices",
03-29-2021,Pav Bhaji,27.0,45,1215.0,"Potatoes, Vegetables, Bread",
2021-03-30,Masala Dosa,,40,,"Rice, Lentils, Spices",Very tasty
03-30-2021,vada pav,17.0,25,425.0,"Potato, Bread, Spices",Too spicy
03-30-2021,Sandwich,,20,,"Bread, Cheese, Vegetables",Average
03-30-2021,PANI PURI,98.0,10,980.0,"Flour, Water, Spices",Very tasty
03-30-2021,Biryani,91.0,120,10920.0,"Rice, Meat, Spices",Average
2021-03-30,Chole Bhature,,50,,"Chickpeas, Flour, Spices",
30/03/2021,PAV BHAJI,,45,,"Potatoes, Vegetables, Bread",Too spicy
03-30-2021,Samosa,,15,,"Potato, Peas, Spices",
30/03/2021,Lassi,42.0,30,1260.0,"Yogurt, Sugar, Water",Too spicy
30/03/2021,Chaat,79.0,30,2370.0,"Pani, Sev, Spices",
03-30-2021,Maaasala Dosa,,35,,"Rice, Lentils, Spices",
30/03/2021,Vadd Pav,,22,,"Potato, Bread, Spices",Too spicy
03-30-2021,Chole Bhture,31.0,55,1705.0,"Chickpeas, Flour, Spices",
03-30-2021,Pav Bhaji,37.0,45,1665.0,"Potatoes, Vegetables, Bread",Not good
2021-03-31,masala dosa,,40,,"Rice, Lentils, Spices",Average
03-31-2021,Vada Pav,46.0,25,1150.0,"Potato, Bread, Spices",Not good
31/03/2021,Sandwich,,20,,"Bread, Cheese, Vegetables",Very tasty
03-31-2021,Pani Puri,27.0,10,270.0,"Flour, Water, Spices",Not good
2021-03-31,Biryani,,120,,"Rice, Meat, Spices",Too spicy
2021-03-31,CHOLE BHATURE,,50,,"Chickpeas, Flour, Spices",Not good
31/03/2021,Pav Bhaji,83.0,45,3735.0,"Potatoes, Vegetables, Bread",Very tasty
03-31-2021,Samosa,,15,,"Potato, Peas, Spices",Very tasty
03-31-2021,Lassi,60.0,30,1800.0,"Yogurt, Sugar, Water",Too spicy
03-31-2021,Chaat,,30,,"Pani, Sev, Spices",Not good
03-31-2021,Maaasala Dosa,6.0,35,210.0,"Rice, Lentils, Spices",Not good
31/03/2021,Vadd Pav,,22,,"Potato, Bread, Spices",Not good
2021-03-31,Chole Bhture,13.0,55,715.0,"Chickpeas, Flour, Spices",Too spicy
2021-03-31,Pav Bhaji,19.0,45,855.0,"Potatoes, Vegetables, Bread",Very tasty
01/04/2021,Masala Dosa,88.0,40,3520.0,"Rice, Lentils, Spices",Very tasty
2021-04-01,Vada Pav,,25,,"Potato, Bread, Spices",Too spicy
2021-04-01,Sandwich,,20,,"Bread, Cheese, Vegetables",
01/04/2021,Pani Puri,60.0,10,600.0,"Flour, Water, Spices",Too spicy
2021-04-01,Biryani,47.0,120,5640.0,"Rice, Meat, Spices",Not good
01/04/2021,Chole Bhature,,50,,"Chickpeas, Flour, Spices",Not good
2021-04-01,Pav Bhaji,,45,,"Potatoes, Vegetables, Bread",Not good
2021-04-01,Samosa,,15,,"Potato, Peas, Spices",Too spicy
01/04/2021,Lassi,40.0,30,1200.0,"Yogurt, Sugar, Water",Not good
01/04/2021,Chaat,53.0,30,1590.0,"Pani, Sev, Spices",
2021-04-01,Maaasala Dosa,,35,,"Rice, Lentils, Spices",
2021-04-01,Vadd Pav,,22,,"Potato, Bread, Spices",
2021-04-01,Chole Bhture,,55,,"Chickpeas, Flour, Spices",Very tasty
04-01-2021,Pav Bhaji,90.0,45,4050.0,"Potatoes, Vegetables, Bread",Very tasty
2021-04-02,Masala Dosa,17.0,40,680.0,"Rice, Lentils, Spices",Too spicy
02/04/2021,Vada Pav,23.0,25,575.0,"Potato, Bread, Spices",Average
02/04/2021,sandwich,84.0,20,1680.0,"Bread, Cheese, Vegetables",
02/04/2021,Pani Puri,,10,,"Flour, Water, Spices",Too spicy
2021-04-02,Biryani,91.0,120,10920.0,"Rice, Meat, Spices",Not good
04-02-2021,Chole Bhature,,50,,"Chickpeas, Flour, Spices",Very tasty
02/04/2021,Pav Bhaji,,45,,"Potatoes, Vegetables, Bread",Not good
04-02-2021,Samosa,,15,,"Potato, Peas, Spices",Not good
2021-04-02,Lassi,,30,,"Yogurt, Sugar, Water",
2021-04-02,Chaat,56.0,30,1680.0,"Pani, Sev, Spices",Not good
02/04/2021,Maaasala Dosa,56.0,35,1960.0,"Rice, Lentils, Spices",
2021-04-02,Vadd Pav,14.0,22,308.0,"Potato, Bread, Spices",Average
2021-04-02,Chole Bhture,,55,,"Chickpeas, Flour, Spices",
2021-04-02,Pav Bhaji,76.0,45,3420.0,"Potatoes, Vegetables, Bread",Too spicy
03/04/2021,Masala Dosa,86.0,40,3440.0,"Rice, Lentils, Spices",Very tasty
04-03-2021,Vada Pav,82.0,25,2050.0,"Potato, Bread, Spices",Average
04-03-2021,Sandwich,,20,,"Bread, Cheese, Vegetables",Too spicy
04-03-2021,Pani Puri,,10,,"Flour, Water, Spices",
2021-04-03,Biryani,48.0,120,5760.0,"Rice, Meat, Spices",Too spicy
2021-04-03,Chole Bhature,85.0,50,4250.0,"Chickpeas, Flour, Spices",Not good
04-03-2021,Pav Bhaji,,45,,"Potatoes, Vegetables, Bread",Not good
04-03-2021,Samosa,27.0,15,405.0,"Potato, Peas, Spices",
04-03-2021,lassi,,30,,"Yogurt, Sugar, Water",
2021-04-03,CHAAT,,30,,"Pani, Sev, Spices",
2021-04-03,Maaasala Dosa,45.0,35,1575.0,"Rice, Lentils, Spices",Not good
2021-04-03,Vadd Pav,80.0,22,1760.0,"Potato, Bread, Spices",Too spicy
2021-04-03,Chole Bhture,,55,,"Chickpeas, Flour, Spices",Very tasty
03/04/2021,Pav Bhaji,,45,,"Potatoes, Vegetables, Bread",
2021-04-04,Masala Dosa,,40,,"Rice, Lentils, Spices",Average
04/04/2021,Vada Pav,54.0,25,1350.0,"Potato, Bread, Spices",
04-04-2021,Sandwich,29.0,20,580.0,"Bread, Cheese, Vegetables",Too spicy
04/04/2021,Pani Puri,14.0,10,140.0,"Flour, Water, Spices",Very tasty
04-04-2021,BIRYANI,83.0,120,9960.0,"Rice, Meat, Spices",Very tasty
04-04-2021,Chole Bhature,41.0,50,2050.0,"Chickpeas, Flour, Spices",
2021-04-04,Pav Bhaji,,45,,"Potatoes, Vegetables, Bread",Not good
04-04-2021,Samosa,10.0,15,150.0,"Potato, Peas, Spices",
2021-04-04,Lassi,,30,,"Yogurt, Sugar, Water",
04-04-2021,Chaat,,30,,"Pani, Sev, Spices",Not good
04/04/2021,Maaasala Dosa,,35,,"Rice, Lentils, Spices",Very tasty
04/04/2021,Vadd Pav,,22,,"Potato, Bread, Spices",Average
2021-04-04,Chole Bhture,31.0,55,1705.0,"Chickpeas, Flour, Spices",Too spicy
04-04-2021,Pav Bhaji,,45,,"Potatoes, Vegetables, Bread",Not good
05/04/2021,Masala Dosa,,40,,"Rice, Lentils, Spices",
05/04/2021,Vada Pav,,25,,"Potato, Bread, Spices",Very tasty
04-05-2021,Sandwich,51.0,20,1020.0,"Bread, Cheese, Vegetables",Not good
04-05-2021,Pani Puri,,10,,"Flour, Water, Spices",Very tasty
2021-04-05,Biryani,12.0,120,1440.0,"Rice, Meat, Spices",Average
2021-04-05,chole bhature,,50,,"Chickpeas, Flour, Spices",Average
05/04/2021,Pav Bhaji,,45,,"Potatoes, Vegetables, Bread",Not good
04-05-2021,Samosa,66.0,15,990.0,"Potato, Peas, Spices",
05/04/2021,Lassi,98.0,30,2940.0,"Yogurt, Sugar, Water",
04-05-2021,Chaat,,30,,"Pani, Sev, Spices",Very tasty
2021-04-05,Maaasala Dosa,,35,,"Rice, Lentils, Spices",Average
2021-04-05,Vadd Pav,,22,,"Potato, Bread, Spices",Average
04-05-2021,Chole Bhture,54.0,55,2970.0,"Chickpeas, Flour, Spices",Very tasty
2021-04-05,Pav Bhaji,57.0,45,2565.0,"Potatoes, Vegetables, Bread",Very tasty
2021-04-06,Masala Dosa,100.0,40,4000.0,"Rice, Lentils, Spices",Not good
06/04/2021,Vada Pav,,25,,"Potato, Bread, Spices",
04-06-2021,Sandwich,8.0,20,160.0,"Bread, Cheese, Vegetables",Not good
06/04/2021,Pani Puri,64.0,10,640.0,"Flour, Water, Spices",
06/04/2021,Biryani,,120,,"Rice, Meat, Spices",Too spicy
04-06-2021,Chole Bhature,,50,,"Chickpeas, Flour, Spices",Very tasty
2021-04-06,Pav Bhaji,,45,,"Potatoes, Vegetables, Bread",Average
06/04/2021,Samosa,81.0,15,1215.0,"Potato, Peas, Spices",Average
04-06-2021,Lassi,81.0,30,2430.0,"Yogurt, Sugar, Water",Average
06/04/2021,Chaat,72.0,30,2160.0,"Pani, Sev, Spices",Average
2021-04-06,Maaasala Dosa,23.0,35,805.0,"Rice, Lentils, Spices",Too spicy
06/04/2021,Vadd Pav,,22,,"Potato, Bread, Spices",Not good
06/04/2021,Chole Bhture,70.0,55,3850.0,"Chickpeas, Flour, Spices",Very tasty
04-06-2021,Pav Bhaji,,45,,"Potatoes, Vegetables, Bread",
2021-04-07,Masala Dosa,,40,,"Rice, Lentils, Spices",Very tasty
2021-04-07,vada pav,,25,,"Potato, Bread, Spices",Average
04-07-2021,Sandwich,,20,,"Bread, Cheese, Vegetables",Average
04-07-2021,Pani Puri,24.0,10,240.0,"Flour, Water, Spices",Average
07/04/2021,Biryani,,120,,"Rice, Meat, Spices",Too spicy
07/04/2021,Chole Bhature,,50,,"Chickpeas, Flour, Spices",Too spicy
07/04/2021,Pav Bhaji,83.0,45,3735.0,"Potatoes, Vegetables, Bread",Not good
04-07-2021,Samosa,,15,,"Potato, Peas, Spices",Very tasty
07/04/2021,Lassi,,30,,"Yogurt, Sugar, Water",
2021-04-07,Chaat,9.0,30,270.0,"Pani, Sev, Spices",
07/04/2021,Maaasala Dosa,79.0,35,2765.0,"Rice, Lentils, Spices",Not good
04-07-2021,Vadd Pav,63.0,22,1386.0,"Potato, Bread, Spices",Average
07/04/2021,Chole Bhture,86.0,55,4730.0,"Chickpeas, Flour, Spices",
2021-04-07,Pav Bhaji,,45,,"Potatoes, Vegetables, Bread",Too spicy
08/04/2021,Masala Dosa,13.0,40,520.0,"Rice, Lentils, Spices",Not good
08/04/2021,Vada Pav,,25,,"Potato, Bread, Spices",Average
04-08-2021,Sandwich,,20,,"Bread, Cheese, Vegetables",Not good
04-08-2021,Pani Puri,,10,,"Flour, Water, Spices",Average
08/04/2021,Biryani,64.0,120,7680.0,"Rice, Meat, Spices",Very tasty
2021-04-08,CHOLE BHATURE,5.0,50,250.0,"Chickpeas, Flour, Spices",
04-08-2021,Pav Bhaji,37.0,45,1665.0,"Potatoes, Vegetables, Bread",Not good
08/04/2021,Samosa,100.0,15,1500.0,"Potato, Peas, Spices",Very tasty
2021-04-08,lassi,,30,,"Yogurt, Sugar, Water",Average
08/04/2021,Chaat,14.0,30,420.0,"Pani, Sev, Spices",Not good
04-08-2021,Maaasala Dosa,,35,,"Rice, Lentils, Spices",Average
04-08-2021,Vadd Pav,,22,,"Potato, Bread, Spices",Very tasty
08/04/2021,CHOLE BHTURE,7.0,55,385.0,"Chickpeas, Flour, Spices",Too spicy
2021-04-08,pav bhaji,28.0,45,1260.0,"Potatoes, Vegetables, Bread",
04-09-2021,Masala Dosa,67.0,40,2680.0,"Rice, Lentils, Spices",Average
2021-04-09,Vada Pav,42.0,25,1050.0,"Potato, Bread, Spices",
09/04/2021,Sandwich,,20,,"Bread, Cheese, Vegetables",Average
04-09-2021,Pani Puri,,10,,"Flour, Water, Spices",Not good
04-09-2021,Biryani,64.0,120,7680.0,"Rice, Meat, Spices",
04-09-2021,Chole Bhature,,50,,"Chickpeas, Flour, Spices",
09/04/2021,Pav Bhaji,,45,,"Potatoes, Vegetables, Bread",Very tasty
09/04/2021,Samosa,66.0,15,990.0,"Potato, Peas, Spices",Too spicy
09/04/2021,Lassi,,30,,"Yogurt, Sugar, Water",Not good
09/04/2021,Chaat,57.0,30,1710.0,"Pani, Sev, Spices",Too spicy
04-09-2021,Maaasala Dosa,62.0,35,2170.0,"Rice, Lentils, Spices",Average
09/04/2021,Vadd Pav,7.0,22,154.0,"Potato, Bread, Spices",Too spicy
09/04/2021,Chole Bhture,13.0,55,715.0,"Chickpeas, Flour, Spices",
04-09-2021,Pav Bhaji,,45,,"Potatoes, Vegetables, Bread",Very tasty
2021-04-10,Masala Dosa,50.0,40,2000.0,"Rice, Lentils, Spices",Average
10/04/2021,Vada Pav,58.0,25,1450.0,"Potato, Bread, Spices",Average
04-10-2021,Sandwich,,20,,"Bread, Cheese, Vegetables",Very tasty
2021-04-10,Pani Puri,,10,,"Flour, Water, Spices",Average
10/04/2021,Biryani,79.0,120,9480.0,"Rice, Meat, Spices",Too spicy
2021-04-10,Chole Bhature,,50,,"Chickpeas, Flour, Spices",
2021-04-10,Pav Bhaji,,45,,"Potatoes, Vegetables, Bread",Too spicy
10/04/2021,Samosa,,15,,"Potato, Peas, Spices",Not good
2021-04-10,Lassi,9.0,30,270.0,"Yogurt, Sugar, Water",Average
2021-04-10,Chaat,,30,,"Pani, Sev, Spices",Not good
10/04/2021,Maaasala Dosa,53.0,35,1855.0,"Rice, Lentils, Spices",Average
2021-04-10,Vadd Pav,43.0,22,946.0,"Potato, Bread, Spices",Too spicy
10/04/2021,Chole Bhture,14.0,55,770.0,"Chickpeas, Flour, Spices",Average
10/04/2021,Pav Bhaji,74.0,45,3330.0,"Potatoes, Vegetables, Bread",Too spicy
11/04/2021,Masala Dosa,61.0,40,2440.0,"Rice, Lentils, Spices",Too spicy
04-11-2021,Vada Pav,,25,,"Potato, Bread, Spices",Not good
2021-04-11,Sandwich,,20,,"Bread, Cheese, Vegetables",Very tasty
04-11-2021,Pani Puri,65.0,10,650.0,"Flour, Water, Spices",Not good
04-11-2021,Biryani,49.0,120,5880.0,"Rice, Meat, Spices",
11/04/2021,CHOLE BHATURE,8.0,50,400.0,"Chickpeas, Flour, Spices",Very tasty
11/04/2021,Pav Bhaji,,45,,"Potatoes, Vegetables, Bread",Average
2021-04-11,Samosa,,15,,"Potato, Peas, Spices",
04-11-2021,Lassi,,30,,"Yogurt, Sugar, Water",Very tasty
04-11-2021,Chaat,,30,,"Pani, Sev, Spices",Average
2021-04-11,Maaasala Dosa,14.0,35,490.0,"Rice, Lentils, Spices",Not good
04-11-2021,Vadd Pav,,22,,"Potato, Bread, Spices",Average
11/04/2021,Chole Bhture,,55,,"Chickpeas, Flour, Spices",Average
04-11-2021,Pav Bhaji,,45,,"Potatoes, Vegetables, Bread",
2021-04-12,Masala Dosa,,40,,"Rice, Lentils, Spices",Very tasty
2021-04-12,Vada Pav,,25,,"Potato, Bread, Spices",Very tasty
